employee_id,reason
905892,bored
902948,salary
905732,no_advancement
901026,bored
901560,dislike_boss
903671,dislike_boss
903723,dislike_boss
905577,salary
905384,dislike_boss
903936,no_advancement
905239,salary
902582,low_recognition
905291,dislike_boss
902746,low_recognition
904765,dislike_boss
902016,bored
901308,low_recognition
901250,low_recognition
901887,bored
904114,dislike_boss
903222,dont_know
903692,salary
904530,no_advancement
904732,salary
902597,salary
901212,low_recognition
904563,dislike_boss
905649,salary
901500,no_advancement
902087,salary
905720,dislike_boss
903760,no_advancement
902160,dislike_boss
901858,no_advancement
904571,dislike_boss
902070,low_recognition
901014,salary
901502,salary
904926,health
903094,no_advancement
903540,no_advancement
903438,dislike_boss
903863,bored
901978,low_recognition
904151,dislike_boss
905150,bored
903283,no_advancement
904664,health
901609,no_advancement
901489,salary
903115,salary
901655,salary
905774,dislike_boss
903021,salary
905326,dislike_boss
904701,dislike_boss
902251,low_recognition
903825,low_recognition
904187,low_recognition
903390,salary
903677,salary
901412,bored
901202,bored
901478,dislike_boss
902545,unsafe_environment
902036,salary
903468,dont_know
901138,low_recognition
902258,bored
902435,dislike_boss
905013,dislike_boss
905900,dislike_boss
905102,salary
905894,salary
905813,salary
902653,bored
901426,low_recognition
901862,bored
904792,no_advancement
904198,low_recognition
905361,no_advancement
902715,salary
904436,dislike_boss
901581,dislike_boss
901575,no_advancement
902816,dislike_boss
904113,dislike_boss
901224,low_recognition
903955,dislike_boss
904059,low_recognition
901184,low_recognition
903840,no_advancement
903425,low_recognition
905608,no_advancement
905082,no_advancement
901244,unsafe_environment
902056,unsafe_environment
904678,dislike_boss
903887,dislike_boss
904841,no_advancement
905710,salary
903927,low_recognition
901449,dislike_boss
901664,dislike_boss
902669,no_advancement
901613,low_recognition
904312,no_advancement
902089,bored
902248,dislike_boss
904714,no_advancement
902797,no_advancement
905835,no_advancement
905588,no_advancement
905595,salary
903402,no_advancement
901038,no_advancement
904832,dislike_boss
902551,dislike_boss
904175,bored
901720,salary
905753,dislike_boss
902960,low_recognition
902431,salary
901385,dislike_boss
903954,low_recognition
905459,salary
902043,no_advancement
903842,unsafe_environment
901326,low_recognition
905038,bored
904799,salary
902310,salary
904329,salary
901836,no_advancement
902204,salary
904564,salary
904236,low_recognition
902767,salary
905037,no_advancement
903295,dislike_boss
901434,dislike_boss
902692,no_advancement
904315,no_advancement
903186,unsafe_environment
901837,salary
904211,salary
903489,bored
905473,dislike_boss
905702,bored
905648,salary
905629,salary
904976,bored
904877,salary
901555,dislike_boss
904321,dislike_boss
904002,low_recognition
905345,salary
901305,no_advancement
903434,salary
901944,no_advancement
903771,low_recognition
905825,bored
902278,low_recognition
901748,low_recognition
905285,salary
901223,dislike_boss
903506,low_recognition
905219,dislike_boss
904447,health
905960,health
904267,dislike_boss
901218,bored
901625,dont_know
905359,dislike_boss
903764,low_recognition
903239,no_advancement
905587,bored
905104,dislike_boss
904720,health
901533,salary
904021,dislike_boss
904647,low_recognition
902837,low_recognition
902525,dislike_boss
903388,low_recognition
901400,no_advancement
904278,low_recognition
905779,salary
904928,dislike_boss
901033,no_advancement
904727,health
901115,bored
903045,health
904287,dislike_boss
903750,bored
901876,bored
903373,salary
901346,no_advancement
904983,dislike_boss
902301,no_advancement
904754,no_advancement
905177,salary
901570,salary
901854,no_advancement
904579,bored
905687,dislike_boss
905991,no_advancement
905994,dislike_boss
902881,salary
903205,no_advancement
901067,dislike_boss
905617,bored
901822,bored
901172,bored
901390,salary
903349,bored
901504,salary
905474,no_advancement
904982,salary
903288,low_recognition
904443,low_recognition
904552,no_advancement
901934,dont_know
902315,no_advancement
904326,low_recognition
905815,bored
904935,unsafe_environment
903877,salary
903407,dislike_boss
903437,dislike_boss
901089,low_recognition
903835,dislike_boss
902622,no_advancement
902513,bored
905472,dislike_boss
903599,salary
903498,bored
902688,health
904509,no_advancement
905976,no_advancement
902953,low_recognition
904386,dislike_boss
905141,bored
905343,bored
902510,no_advancement
901772,low_recognition
904523,low_recognition
904374,no_advancement
904649,bored
903144,dont_know
901039,bored
901040,no_advancement
905238,dislike_boss
901112,salary
904889,low_recognition
905955,salary
903254,bored
904157,salary
901132,bored
903689,salary
905210,dislike_boss
902640,low_recognition
905526,no_advancement
901793,dislike_boss
905110,dislike_boss
905386,bored
905611,bored
902812,salary
904158,no_advancement
903704,salary
902829,dislike_boss
902358,bored
902580,low_recognition
903903,salary
903578,dislike_boss
901666,no_advancement
904434,no_advancement
905610,dislike_boss
901797,dont_know
903510,no_advancement
904651,salary
902777,dont_know
903888,no_advancement
902748,no_advancement
901737,low_recognition
903521,dislike_boss
905750,dislike_boss
905297,salary
903213,salary
902791,no_advancement
903755,salary
903055,low_recognition
901758,no_advancement
902559,dislike_boss
903193,salary
902257,health
904069,dislike_boss
905106,salary
903227,dislike_boss
903616,no_advancement
904919,no_advancement
901698,dont_know
904276,salary
901339,salary
903168,dislike_boss
905891,salary
904791,bored
904425,health
904669,low_recognition
904100,health
904813,dislike_boss
903559,low_recognition
904412,low_recognition
903234,no_advancement
904992,no_advancement
902697,no_advancement
902375,dislike_boss
903264,health
904844,dislike_boss
905017,low_recognition
903564,dont_know
904955,salary
902097,dont_know
903165,dislike_boss
903040,no_advancement
903933,no_advancement
903537,no_advancement
905052,salary
905858,no_advancement
905877,dislike_boss
901813,dislike_boss
901999,low_recognition
904681,dislike_boss
901663,salary
903538,no_advancement
904188,dislike_boss
903017,dislike_boss
901618,no_advancement
902143,salary
903181,no_advancement
902635,salary
902242,dislike_boss
903281,salary
903184,bored
905257,dislike_boss
905332,low_recognition
905977,salary
903662,unsafe_environment
903876,salary
902217,low_recognition
904560,low_recognition
903950,no_advancement
903128,bored
903519,no_advancement
905148,salary
905983,bored
902964,low_recognition
905521,salary
902741,unsafe_environment
902826,bored
901309,no_advancement
901615,no_advancement
902260,salary
902091,dislike_boss
904199,bored
902410,no_advancement
905085,unsafe_environment
903210,bored
905118,low_recognition
905888,low_recognition
901546,low_recognition
902241,no_advancement
901755,salary
905914,salary
903530,low_recognition
902817,salary
902781,low_recognition
902197,no_advancement
902162,low_recognition
905277,dislike_boss
902557,health
905546,dislike_boss
901239,low_recognition
902618,salary
905809,low_recognition
905389,salary
905862,salary
903111,bored
904308,bored
903299,salary
901908,bored
905167,low_recognition
902928,bored
901648,bored
903601,salary
901405,dislike_boss
903972,dislike_boss
901964,bored
901053,no_advancement
903963,unsafe_environment
901776,dislike_boss
903271,no_advancement
904256,no_advancement
905898,low_recognition
903594,no_advancement
904265,health
902213,no_advancement
901829,low_recognition
901568,dislike_boss
903603,low_recognition
901440,dislike_boss
902982,no_advancement
901006,no_advancement
904806,no_advancement
903221,salary
905161,low_recognition
903819,unsafe_environment
905187,low_recognition
905919,dislike_boss
901228,dislike_boss
903929,no_advancement
901050,salary
903358,health
903561,dislike_boss
903300,dislike_boss
904102,salary
905580,no_advancement
902868,salary
902739,dislike_boss
902361,no_advancement
901863,dislike_boss
903408,dislike_boss
905109,salary
902950,dislike_boss
904801,bored
903123,bored
901671,no_advancement
903765,low_recognition
905339,dislike_boss
903378,no_advancement
904837,salary
902995,salary
905468,no_advancement
901463,dislike_boss
905878,salary
902997,low_recognition
902208,no_advancement
903029,no_advancement
901334,no_advancement
904046,no_advancement
905071,dislike_boss
902918,no_advancement
905205,bored
902105,bored
902761,dislike_boss
905149,no_advancement
904817,low_recognition
903743,dislike_boss
904050,no_advancement
904332,salary
902024,dislike_boss
901043,no_advancement
902785,dislike_boss
902934,salary
903379,no_advancement
903043,salary
904803,no_advancement
905620,low_recognition
901703,low_recognition
904988,salary
904234,salary
902221,unsafe_environment
905775,low_recognition
904426,no_advancement
903508,no_advancement
902037,no_advancement
904383,salary
901331,dislike_boss
902935,dislike_boss
903050,no_advancement
905998,bored
903839,dislike_boss
903286,bored
905738,low_recognition
902438,salary
904878,salary
902190,dislike_boss
905363,low_recognition
905987,no_advancement
902864,dislike_boss
902009,dont_know
901881,health
901852,dislike_boss
903355,dont_know
901258,low_recognition
905604,bored
904323,no_advancement
902701,no_advancement
901696,low_recognition
905957,no_advancement
904914,no_advancement
904446,dislike_boss
903923,no_advancement
903075,dislike_boss
903836,dislike_boss
902153,no_advancement
902747,dislike_boss
905936,dont_know
901691,low_recognition
905450,no_advancement
905690,no_advancement
905951,no_advancement
903822,low_recognition
902034,bored
903886,dislike_boss
904660,no_advancement
902898,salary
905314,salary
904730,salary
902447,no_advancement
902456,bored
904342,no_advancement
902596,dislike_boss
904057,bored
901685,salary
902988,low_recognition
905534,bored
903788,salary
904325,bored
904441,low_recognition
903921,no_advancement
905739,dislike_boss
905733,salary
901220,no_advancement
902745,low_recognition
904244,no_advancement
905827,dislike_boss
901497,low_recognition
901557,low_recognition
904142,bored
902220,salary
904587,low_recognition
905552,dislike_boss
903961,no_advancement
904599,no_advancement
901948,no_advancement
904389,salary
904099,dislike_boss
904317,unsafe_environment
904944,no_advancement
902705,no_advancement
901681,no_advancement
904228,low_recognition
902805,salary
904038,low_recognition
904366,low_recognition
903448,bored
903038,unsafe_environment
904731,dislike_boss
903002,low_recognition
905199,dislike_boss
903463,no_advancement
903934,bored
905449,dislike_boss
904149,dislike_boss
903011,low_recognition
902212,dislike_boss
905400,health
905488,dislike_boss
904764,salary
902854,salary
901459,salary
902329,dislike_boss
904415,low_recognition
904378,dislike_boss
902838,dislike_boss
902452,low_recognition
904197,salary
904624,no_advancement
902609,salary
902235,no_advancement
901462,dislike_boss
901676,no_advancement
903562,no_advancement
903095,health
902437,low_recognition
901982,no_advancement
903787,bored
905746,low_recognition
902602,dislike_boss
901324,salary
901262,dislike_boss
904767,low_recognition
904952,low_recognition
902385,bored
901272,dislike_boss
905547,no_advancement
903381,salary
902751,salary
902856,low_recognition
905563,dislike_boss
904617,no_advancement
903185,dislike_boss
904433,dislike_boss
904031,no_advancement
901234,low_recognition
905303,salary
905452,bored
901466,no_advancement
905111,unsafe_environment
901035,dislike_boss
901989,no_advancement
905741,dislike_boss
904088,dislike_boss
902983,salary
901129,dislike_boss
901559,unsafe_environment
903027,no_advancement
903856,dislike_boss
904814,salary
902827,dislike_boss
905358,salary
902569,low_recognition
901214,low_recognition
904483,no_advancement
902078,no_advancement
903644,salary
903377,no_advancement
905854,dislike_boss
903305,low_recognition
903160,salary
905684,salary
902717,low_recognition
901525,no_advancement
904532,salary
904828,salary
901082,unsafe_environment
904778,bored
905122,no_advancement
902228,no_advancement
905311,bored
901699,salary
901760,bored
904413,salary
903418,dislike_boss
902185,no_advancement
905790,dislike_boss
905019,salary
905442,dislike_boss
902691,salary
901167,no_advancement
901232,low_recognition
904650,no_advancement
902731,bored
901614,dislike_boss
902367,low_recognition
901511,dislike_boss
901433,dislike_boss
903570,no_advancement
901966,dislike_boss
904380,bored
903808,low_recognition
902041,salary
901880,salary
901509,low_recognition
902287,bored
905972,salary
903335,low_recognition
902780,no_advancement
903327,dislike_boss
901563,salary
905505,no_advancement
903309,health
903566,health
905099,dislike_boss
901395,dislike_boss
901512,low_recognition
905398,salary
902388,low_recognition
905268,bored
905895,dislike_boss
902023,low_recognition
901897,dont_know
904749,dislike_boss
905777,salary
905512,no_advancement
903409,low_recognition
904872,dislike_boss
902919,low_recognition
905078,salary
904697,dislike_boss
902512,no_advancement
904055,salary
901140,low_recognition
901933,dislike_boss
904899,low_recognition
902130,health
903073,salary
903059,salary
905945,no_advancement
902599,unsafe_environment
903435,no_advancement
903436,bored
904118,no_advancement
903918,bored
902592,salary
903431,salary
903607,no_advancement
902273,salary
905197,low_recognition
904839,low_recognition
901901,no_advancement
903108,no_advancement
904613,dislike_boss
903257,health
902263,no_advancement
903485,salary
903651,bored
903747,low_recognition
901148,salary
902729,dislike_boss
904203,salary
901702,no_advancement
904969,salary
905869,dislike_boss
903864,salary
902906,bored
905909,bored
904728,dislike_boss
902764,unsafe_environment
902649,bored
901268,health
905200,salary
902936,low_recognition
904796,low_recognition
903163,unsafe_environment
903947,low_recognition
903494,salary
